year,month,day,time,temp
2018,8,12,9:30,29
2018,8,12,9:30,29
2018,8,12,9:29,41
2018,8,12,9:29,41
2018,8,12,9:29,31
2018,8,12,9:29,31
2018,8,12,9:28,29
2018,8,12,9:28,29
2018,8,12,9:26,29
2018,8,12,9:26,29
2018,8,12,9:25,42
2018,8,12,9:25,42
2018,8,12,9:24,29
2018,8,12,9:24,29
2018,8,12,9:22,29
2018,8,12,9:22,29
2018,8,12,9:21,41
2018,8,12,9:21,41
2018,8,12,9:20,29
2018,8,12,9:20,29
2018,8,12,9:19,42
2018,8,12,9:19,42
2018,8,12,9:18,29
2018,8,12,9:18,29
2018,8,12,9:17,41
2018,8,12,9:17,41
2018,8,12,9:16,29
2018,8,12,9:16,29
2018,8,12,9:14,29
2018,8,12,9:14,29
2018,8,12,9:12,29
2018,8,12,9:12,29
2018,8,12,9:09,42
2018,8,12,9:09,42
2018,8,12,9:08,29
2018,8,12,9:08,29
2018,8,12,9:07,41
2018,8,12,9:07,41
2018,8,12,9:05,29
2018,8,12,9:04,42
2018,8,12,9:04,30
2018,8,12,9:04,29
2018,8,12,9:03,42
2018,8,12,9:03,30
2018,8,12,9:01,30
2018,8,12,9:00,29
2018,8,12,9:00,29
2018,8,12,8:58,29
2018,8,12,8:58,29
2018,8,12,8:57,41
2018,8,12,8:55,30
2018,8,12,8:55,30
2018,8,12,8:53,42
2018,8,12,8:53,42
2018,8,12,8:52,29
2018,8,12,8:52,29
2018,8,12,8:51,31
2018,8,12,8:50,29
2018,8,12,8:50,29
2018,8,12,8:48,29
2018,8,12,8:46,29
2018,8,12,8:46,29
2018,8,12,8:42,29
2018,8,12,8:42,29
2018,8,12,8:41,41
2018,8,12,8:41,30
2018,8,12,8:41,30
2018,8,12,8:40,29
2018,8,12,8:40,29
2018,8,12,8:38,29
2018,8,12,8:38,29
2018,8,12,8:36,29
2018,8,12,8:36,29
2018,8,12,8:34,29
2018,8,12,8:34,29
2018,8,12,8:33,41
2018,8,12,8:33,41
2018,8,12,8:32,29
2018,8,12,8:32,29
2018,8,12,8:31,41
2018,8,12,8:31,41
2018,8,12,8:30,29
2018,8,12,8:30,29
2018,8,12,8:28,29
2018,8,12,8:28,29
2018,8,12,8:27,41
2018,8,12,8:27,41
2018,8,12,8:26,29
2018,8,12,8:26,29
2018,8,12,8:25,41
2018,8,12,8:25,41
2018,8,12,8:24,29
2018,8,12,8:24,29
2018,8,12,8:23,41
2018,8,12,8:23,41
2018,8,12,8:22,29
2018,8,12,8:22,29
2018,8,12,8:21,40
2018,8,12,8:21,40
2018,8,12,8:20,29
2018,8,12,8:20,29
2018,8,12,8:18,29
2018,8,12,8:18,29
2018,8,12,8:17,30
2018,8,12,8:17,30
2018,8,12,8:16,29
2018,8,12,8:16,29
2018,8,12,8:15,40
2018,8,12,8:15,40
2018,8,12,8:15,30
2018,8,12,8:15,30
2018,8,12,8:12,29
2018,8,12,8:12,29
2018,8,12,8:11,40
2018,8,12,8:11,40
2018,8,12,8:10,29
2018,8,12,8:10,29
2018,8,12,8:08,29
2018,8,12,8:08,29
2018,8,12,8:07,40
2018,8,12,8:07,40
2018,8,12,8:06,29
2018,8,12,8:06,29
2018,8,12,8:05,40
2018,8,12,8:05,40
2018,8,12,8:04,29
2018,8,12,8:04,41
2018,8,12,8:04,29
2018,8,12,8:03,41
2018,8,12,8:03,29
